from to amstar_level
A327 RW3 "moderate quality"
A338 RW3 "moderate quality"
A346 RW3 "moderate quality"
A695 RW3 "moderate quality"
A132 RW30 "moderate quality"
A216 RW30 "moderate quality"
A228 RW30 "moderate quality"
A438 RW30 "moderate quality"
A312 RW300 "moderate quality"
A568 RW300 "moderate quality"
A407 RW301 "low quality"
A473 RW301 "low quality"
A565 RW301 "low quality"
A566 RW301 "low quality"
A67 RW301 "low quality"
A175 RW303 "low quality"
A285 RW303 "low quality"
A298 RW303 "low quality"
A439 RW303 "low quality"
A654 RW303 "low quality"
A170 RW304 "moderate quality"
A735 RW304 "moderate quality"
A736 RW304 "moderate quality"
A113 RW31 "low quality"
A216 RW31 "low quality"
A290 RW31 "low quality"
A70 RW31 "low quality"
A704 RW31 "low quality"
A264 RW32 "low quality"
A516 RW32 "low quality"
A688 RW32 "low quality"
A702 RW32 "low quality"
A217 RW33 "moderate quality"
A4 RW33 "moderate quality"
A422 RW33 "moderate quality"
A496 RW33 "moderate quality"
A604 RW33 "moderate quality"
A71 RW33 "moderate quality"
A55 RW34 "low quality"
A595 RW34 "low quality"
A620 RW34 "low quality"
A681 RW34 "low quality"
A171 RW35 "moderate quality"
A172 RW35 "moderate quality"
A267 RW35 "moderate quality"
A293 RW36 "high quality"
A321 RW36 "high quality"
A322 RW36 "moderate quality"
A336 RW36 "high quality"
A465 RW36 "high quality"
A573 RW36 "high quality"
A606 RW36 "moderate quality"
A618 RW36 "high quality"
A641 RW36 "high quality"
A676 RW36 "high quality"
A734 RW36 "moderate quality"
A92 RW36 "high quality"
A104 RW37 "low quality"
A348 RW37 "low quality"
A35 RW37 "low quality"
A358 RW37 "low quality"
A383 RW37 "low quality"
A437 RW37 "low quality"
A475 RW37 "low quality"
A48 RW37 "low quality"
A519 RW37 "low quality"
A563 RW37 "low quality"
A651 RW37 "low quality"
A659 RW37 "low quality"
A75 RW37 "low quality"
A144 RW38 "moderate quality"
A179 RW38 "moderate quality"
A310 RW38 "moderate quality"
A431 RW38 "moderate quality"
A464 RW38 "moderate quality"
A467 RW38 "moderate quality"
A48 RW38 "moderate quality"
A603 RW38 "moderate quality"
A356 RW39 "moderate quality"
A60 RW39 "moderate quality"
A694 RW39 "moderate quality"
A173 RW4 "moderate quality"
A201 RW4 "moderate quality"
A532 RW4 "moderate quality"
A536 RW4 "moderate quality"
A312 RW41 "low quality"
A568 RW41 "low quality"
A180 RW42 "moderate quality"
A301 RW42 "moderate quality"
A40 RW42 "moderate quality"
A41 RW42 "moderate quality"
A418 RW42 "moderate quality"
A447 RW42 "moderate quality"
A467 RW42 "moderate quality"
A630 RW42 "moderate quality"
A652 RW42 "moderate quality"
A68 RW42 "moderate quality"
A221 RW44 "moderate quality"
A361 RW44 "moderate quality"
A394 RW44 "moderate quality"
A679 RW44 "moderate quality"
A691 RW44 "moderate quality"
A706 RW44 "moderate quality"
A709 RW44 "moderate quality"
A712 RW44 "moderate quality"
A182 RW45 "moderate quality"
A219 RW45 "moderate quality"
A294 RW45 "moderate quality"
A366 RW45 "moderate quality"
A526 RW47 "moderate quality"
A619 RW47 "moderate quality"
A2 RW48 "high quality"
A255 RW48 "high quality"
A28 RW48 "high quality"
A283 RW48 "high quality"
A469 RW48 "high quality"
A471 RW48 "high quality"
A48 RW48 "high quality"
A151 RW49 "moderate quality"
A222 RW49 "moderate quality"
A252 RW49 "moderate quality"
A546 RW49 "moderate quality"
A589 RW49 "moderate quality"
A591 RW49 "moderate quality"
A644 RW49 "moderate quality"
A126 RW5 "low quality"
A127 RW5 "low quality"
A156 RW5 "low quality"
A177 RW5 "low quality"
A202 RW50 "low quality"
A380 RW50 "low quality"
A667 RW50 "low quality"
A191 RW51 "moderate quality"
A203 RW51 "moderate quality"
A381 RW51 "moderate quality"
A412 RW51 "moderate quality"
A432 RW51 "moderate quality"
A76 RW51 "moderate quality"
A77 RW51 "moderate quality"
A106 RW53 "moderate quality"
A216 RW53 "moderate quality"
A242 RW53 "moderate quality"
A299 RW53 "moderate quality"
A52 RW53 "moderate quality"
A70 RW53 "moderate quality"
A26 RW54 "high quality"
A514 RW54 "high quality"
A610 RW54 "high quality"
A78 RW54 "high quality"
A91 RW54 "high quality"
A130 RW55 "moderate quality"
A372 RW55 "moderate quality"
A388 RW55 "moderate quality"
A450 RW55 "moderate quality"
A522 RW55 "moderate quality"
A599 RW55 "moderate quality"
A270 RW56 "low quality"
A415 RW56 "low quality"
A428 RW56 "low quality"
A513 RW56 "low quality"
A112 RW58 "moderate quality"
A119 RW58 "moderate quality"
A360 RW58 "moderate quality"
A441 RW58 "moderate quality"
A83 RW58 "moderate quality"
A162 RW59 "high quality"
A182 RW59 "high quality"
A219 RW59 "high quality"
A234 RW59 "high quality"
A281 RW59 "high quality"
A294 RW59 "high quality"
A366 RW59 "high quality"
A399 RW59 "high quality"
A401 RW59 "high quality"
A477 RW59 "high quality"
A49 RW59 "high quality"
A501 RW59 "high quality"
A510 RW59 "high quality"
A55 RW59 "high quality"
A558 RW59 "high quality"
A574 RW59 "high quality"
A184 RW6 "high quality"
A359 RW6 "high quality"
A468 RW6 "high quality"
A259 RW60 "low quality"
A30 RW60 "low quality"
A396 RW60 "low quality"
A135 RW61 "moderate quality"
A136 RW61 "moderate quality"
A419 RW61 "moderate quality"
A539 RW61 "moderate quality"
A622 RW61 "moderate quality"
A627 RW61 "moderate quality"
A317 RW62 "moderate quality"
A420 RW62 "moderate quality"
A50 RW62 "moderate quality"
A555 RW62 "moderate quality"
A585 RW62 "moderate quality"
A666 RW62 "moderate quality"
A684 RW62 "moderate quality"
A121 RW63 "low quality"
A149 RW63 "low quality"
A199 RW63 "low quality"
A32 RW63 "low quality"
A417 RW63 "low quality"
A42 RW63 "low quality"
A454 RW63 "low quality"
A455 RW63 "low quality"
A466 RW63 "low quality"
A613 RW63 "low quality"
A13 RW64 "moderate quality"
A229 RW64 "moderate quality"
A239 RW64 "moderate quality"
A344 RW64 "moderate quality"
A584 RW64 "moderate quality"
A602 RW64 "moderate quality"
A260 RW65 "high quality"
A430 RW65 "high quality"
A508 RW65 "high quality"
A653 RW65 "high quality"
A260 RW66 "high quality"
A430 RW66 "high quality"
A508 RW66 "high quality"
A100 RW67 "moderate quality"
A334 RW67 "moderate quality"
A341 RW67 "moderate quality"
A364 RW67 "moderate quality"
A609 RW67 "moderate quality"
A714 RW67 "moderate quality"
A721 RW67 "moderate quality"
A724 RW67 "moderate quality"
A728 RW67 "moderate quality"
A124 RW68 "low quality"
A192 RW68 "low quality"
A545 RW68 "low quality"
A547 RW68 "low quality"
A582 RW68 "low quality"
A701 RW68 "low quality"
A725 RW68 "low quality"
A107 RW69 "low quality"
A5 RW69 "low quality"
A667 RW69 "low quality"
A223 RW7 "moderate quality"
A45 RW7 "moderate quality"
A645 RW7 "moderate quality"
A687 RW7 "moderate quality"
A738 RW7 "moderate quality"
A20 RW71 "moderate quality"
A273 RW71 "moderate quality"
A274 RW71 "moderate quality"
A29 RW71 "moderate quality"
A310 RW71 "moderate quality"
A413 RW71 "moderate quality"
A446 RW71 "moderate quality"
A464 RW71 "moderate quality"
A48 RW71 "moderate quality"
A500 RW71 "moderate quality"
A51 RW71 "moderate quality"
A511 RW71 "moderate quality"
A538 RW71 "moderate quality"
A634 RW71 "moderate quality"
A80 RW71 "moderate quality"
A162 RW72 "moderate quality"
A182 RW72 "moderate quality"
A219 RW72 "moderate quality"
A234 RW72 "moderate quality"
A281 RW72 "moderate quality"
A294 RW72 "moderate quality"
A366 RW72 "moderate quality"
A399 RW72 "moderate quality"
A401 RW72 "moderate quality"
A477 RW72 "moderate quality"
A49 RW72 "moderate quality"
A501 RW72 "moderate quality"
A510 RW72 "moderate quality"
A55 RW72 "moderate quality"
A558 RW72 "moderate quality"
A574 RW72 "moderate quality"
A430 RW73 "moderate quality"
A508 RW73 "moderate quality"
A535 RW73 "moderate quality"
A135 RW74 "moderate quality"
A136 RW74 "moderate quality"
A539 RW74 "moderate quality"
A622 RW74 "moderate quality"
A120 RW75 "moderate quality"
A142 RW75 "moderate quality"
A221 RW75 "moderate quality"
A361 RW75 "moderate quality"
A679 RW75 "moderate quality"
A706 RW75 "moderate quality"
A709 RW75 "moderate quality"
A102 RW76 "moderate quality"
A233 RW76 "moderate quality"
A488 RW76 "moderate quality"
A682 RW76 "moderate quality"
A713 RW76 "moderate quality"
A36 RW77 "low quality"
A681 RW77 "low quality"
A452 RW8 "moderate quality"
A639 RW8 "moderate quality"
A640 RW8 "moderate quality"
A646 RW8 "moderate quality"
A672 RW8 "moderate quality"
A699 RW8 "moderate quality"
A722 RW8 "moderate quality"
A184 RW83 "high quality"
A276 RW83 "high quality"
A359 RW83 "high quality"
A468 RW83 "high quality"
A494 RW85 "low quality"
A548 RW85 "low quality"
A549 RW85 "low quality"
A18 RW86 "moderate quality"
A256 RW86 "moderate quality"
A369 RW86 "moderate quality"
A723 RW86 "moderate quality"
A150 RW88 "moderate quality"
A251 RW88 "moderate quality"
A323 RW88 "moderate quality"
A325 RW88 "moderate quality"
A365 RW88 "moderate quality"
A581 RW88 "moderate quality"
A670 RW88 "moderate quality"
A16 RW9 "moderate quality"
A17 RW9 "moderate quality"
A232 RW9 "moderate quality"
A272 RW9 "moderate quality"
A586 RW9 "moderate quality"
A214 RW90 "low quality"
A387 RW90 "low quality"
A55 RW90 "low quality"
A567 RW90 "low quality"
A526 RW93 "moderate quality"
A579 RW93 "moderate quality"
A618 RW93 "moderate quality"
A619 RW93 "moderate quality"
A209 RW94 "moderate quality"
A382 RW94 "moderate quality"
A520 RW94 "moderate quality"
A570 RW94 "moderate quality"
A84 RW94 "moderate quality"
A162 RW97 "moderate quality"
A182 RW97 "moderate quality"
A219 RW97 "moderate quality"
A234 RW97 "moderate quality"
A281 RW97 "moderate quality"
A294 RW97 "moderate quality"
A366 RW97 "moderate quality"
A399 RW97 "moderate quality"
A401 RW97 "moderate quality"
A477 RW97 "moderate quality"
A49 RW97 "moderate quality"
A501 RW97 "moderate quality"
A510 RW97 "moderate quality"
A55 RW97 "moderate quality"
A558 RW97 "moderate quality"
A574 RW97 "moderate quality"
