from to amstar_level
A48 RW138 "low quality"
A500 RW138 "low quality"
A51 RW138 "low quality"
A511 RW138 "low quality"
A538 RW138 "low quality"
A634 RW138 "low quality"
A80 RW138 "low quality"
A423 RW139 "low quality"
A8 RW139 "low quality"
A140 RW140 "moderate quality"
A194 RW140 "moderate quality"
A48 RW140 "moderate quality"
A265 RW141 "moderate quality"
A326 RW141 "moderate quality"
A354 RW141 "moderate quality"
A489 RW141 "moderate quality"
A716 RW141 "moderate quality"
A165 RW142 "high quality"
A263 RW142 "high quality"
A410 RW142 "high quality"
A698 RW142 "high quality"
A159 RW143 "moderate quality"
A31 RW143 "moderate quality"
A411 RW143 "moderate quality"
A607 RW143 "moderate quality"
A115 RW144 "high quality"
A155 RW144 "high quality"
A19 RW144 "high quality"
A212 RW144 "high quality"
A231 RW144 "high quality"
A240 RW144 "high quality"
A262 RW144 "high quality"
A389 RW144 "high quality"
A390 RW144 "high quality"
A409 RW144 "high quality"
A116 RW146 "moderate quality"
A197 RW146 "moderate quality"
A205 RW146 "moderate quality"
A210 RW146 "moderate quality"
A448 RW146 "moderate quality"
A504 RW146 "moderate quality"
A509 RW146 "moderate quality"
A597 RW146 "moderate quality"
A143 RW148 "high quality"
A361 RW148 "high quality"
A394 RW148 "high quality"
A679 RW148 "high quality"
A709 RW148 "high quality"
A117 RW149 "high quality"
A118 RW149 "high quality"
A164 RW149 "high quality"
A195 RW149 "high quality"
A208 RW149 "high quality"
A211 RW149 "high quality"
A375 RW149 "high quality"
A386 RW149 "high quality"
A451 RW149 "high quality"
A492 RW149 "high quality"
A528 RW149 "high quality"
A11 RW15 "low quality"
A12 RW15 "low quality"
A569 RW15 "low quality"
A594 RW15 "low quality"
A596 RW15 "low quality"
A611 RW15 "low quality"
A433 RW150 "high quality"
A458 RW150 "high quality"
A521 RW150 "high quality"
A561 RW150 "high quality"
A650 RW150 "high quality"
A136 RW151 "low quality"
A167 RW151 "low quality"
A539 RW151 "low quality"
A622 RW151 "low quality"
A235 RW153 "moderate quality"
A24 RW153 "moderate quality"
A25 RW153 "moderate quality"
A209 RW154 "high quality"
A382 RW154 "high quality"
A520 RW154 "high quality"
A361 RW155 "moderate quality"
A394 RW155 "moderate quality"
A679 RW155 "moderate quality"
A705 RW155 "moderate quality"
A709 RW155 "moderate quality"
A712 RW155 "moderate quality"
A158 RW156 "high quality"
A23 RW156 "high quality"
A436 RW156 "high quality"
A625 RW156 "high quality"
A122 RW157 "low quality"
A20 RW157 "low quality"
A248 RW157 "low quality"
A273 RW157 "low quality"
A274 RW157 "low quality"
A29 RW157 "low quality"
A310 RW157 "low quality"
A413 RW157 "low quality"
A446 RW157 "low quality"
A464 RW157 "low quality"
A48 RW157 "low quality"
A480 RW157 "low quality"
A500 RW157 "low quality"
A61 RW157 "low quality"
A122 RW158 "moderate quality"
A20 RW158 "moderate quality"
A248 RW158 "moderate quality"
A273 RW158 "moderate quality"
A274 RW158 "moderate quality"
A29 RW158 "moderate quality"
A310 RW158 "moderate quality"
A413 RW158 "moderate quality"
A446 RW158 "moderate quality"
A464 RW158 "moderate quality"
A48 RW158 "moderate quality"
A480 RW158 "moderate quality"
A500 RW158 "moderate quality"
A61 RW158 "moderate quality"
A122 RW159 "moderate quality"
A20 RW159 "moderate quality"
A248 RW159 "moderate quality"
A273 RW159 "moderate quality"
A274 RW159 "moderate quality"
A29 RW159 "moderate quality"
A310 RW159 "moderate quality"
A413 RW159 "moderate quality"
A446 RW159 "moderate quality"
A464 RW159 "moderate quality"
A48 RW159 "moderate quality"
A480 RW159 "moderate quality"
A500 RW159 "moderate quality"
A61 RW159 "moderate quality"
A111 RW16 "high quality"
A15 RW16 "high quality"
A302 RW16 "high quality"
A319 RW16 "high quality"
A379 RW16 "high quality"
A533 RW16 "high quality"
A544 RW16 "high quality"
A136 RW160 "moderate quality"
A241 RW160 "moderate quality"
A282 RW160 "moderate quality"
A539 RW160 "moderate quality"
A622 RW160 "moderate quality"
A250 RW161 "high quality"
A371 RW161 "high quality"
A674 RW161 "high quality"
A729 RW161 "high quality"
A730 RW161 "high quality"
A122 RW162 "low quality"
A20 RW162 "low quality"
A248 RW162 "low quality"
A273 RW162 "low quality"
A274 RW162 "low quality"
A29 RW162 "low quality"
A310 RW162 "low quality"
A413 RW162 "low quality"
A446 RW162 "low quality"
A464 RW162 "low quality"
A48 RW162 "low quality"
A480 RW162 "low quality"
A500 RW162 "low quality"
A61 RW162 "low quality"
A170 RW165 "low quality"
A551 RW165 "low quality"
A735 RW165 "low quality"
